"id","cat","dummy_cat1","dummy_cat2","asc_doses","asc_cmax","asc_tmax","asc_auc","asc_auc_0_90","asc_c_mean_0_90","asc_ke","asc_t12","asc_Cl","asc_V","nac_doses","nac_cmax","nac_tmax","nac_auc","nac_auc_0_90","nac_c_mean_0_90","nac_ke","nac_t12","nac_Cl","nac_V","dfo_doses","dfo_cmax","dfo_tmax","dfo_auc","dfo_auc_0_90","dfo_c_mean_0_90","dfo_ke","dfo_t12","dfo_Cl","dfo_V","asc_auc_inf","nac_auc_inf","dfo_auc_inf"
1,"cat1",1,0,2475,137.626527728424,30,0.254205601263168,0.114110108537019,115.199564303385,0.585419189137958,1.18401855186985,5.8911511669523,10.0631330100866,2000,118.971064368,30,0.16254448617984,0.07581971470872,79.5801236752,0.493738652100234,1.40387465638244,7.28844531126644,14.7617474958935,1000,16.283028854898,30,0.011453685617908,0.00678004765702765,7.60228636381773,5.12800781311865,0.135168901027551,84.1414456561356,16.408213232609,0.420121624765641,0.274406943399632,0.0118847494501906
2,"p",0,0,0,8.3274941968176,0,0.0214833202287018,0.007211713102447,7.31657577263387,0,Inf,NA,NA,0,1.632e-06,0,4.896e-09,1.632e-09,1.632e-06,0,Inf,NA,NA,0,5.606e-06,0,1.6818e-08,5.606e-09,5.606e-06,0,Inf,NA,NA,0,0,0
3,"cat1",1,0,2475,59.4287884603,30,0.0937606137601161,0.046515762805092,47.3325993575027,0.78856975552543,0.878992854726081,17.3577086357482,22.0116337383274,2000,126.89347247136,30,0.17785996059372,0.09325889156904,95.68868910464,0.886885030272898,0.781552463848286,7.64739227439559,8.62275493819358,1000,10.467826770506,30,0.00950011627371405,0.0051884348122822,5.551099957081,1.23803067185834,0.559878843324211,89.4112908393894,72.2205781098935,0.142587944753419,0.261527057621491,0.0111842698009619
4,"p",0,0,0,18.3142516417,120,0.0521112956558498,0.0175573140209901,17.5430727457123,0,Inf,NA,NA,0,1.632e-06,0,4.896e-09,1.632e-09,1.632e-06,0,Inf,NA,NA,0,5.606e-06,0,1.6818e-08,5.606e-09,5.606e-06,0,Inf,NA,NA,0,0,0
5,"cat1",1,0,2475,179.0111489348,30,0.287944200066222,0.135442046939325,139.308371625789,0.684067227509528,1.01327348056634,5.42572821161273,7.93157162544693,2000,125.24700284928,30,0.19272951663,0.09089966965992,92.76731603168,0.330168940306057,2.09937124890493,5.0257269714113,15.2216830776166,1000,11.048809272728,30,0.0098277167805676,0.00534513160675585,5.7819355993972,1.64942164656867,0.420236500473918,89.2914939289175,54.1350321882052,0.456159966638716,0.397952378109066,0.0111992750484842
6,"cat1",1,0,2475,195.1445977586,30,0.287621392555295,0.133652942266375,137.641858428452,0.50372707340432,1.37603717798107,5.17361447534367,10.2706698696558,2000,98.37529762848,30,0.10780805526252,0.05145875151984,54.48189341728,0.216660317540855,3.19923458262837,9.41207813879249,43.4416336393382,1000,5.4636263061008,30,0.0048404590667607,0.0026751672024381,2.80556116014987,1.11939904687144,0.619213659773246,183.885545111261,164.271664894833,0.47838895066405,0.212492923508239,0.00543816535114245
7,"p",0,0,0,10.9941771437036,0,0.0242938157153027,0.0090637073711709,9.18617874395107,0,Inf,NA,NA,0,1.632e-06,0,4.896e-09,1.632e-09,1.632e-06,0,Inf,NA,NA,0,5.606e-06,0,1.6818e-08,5.606e-09,5.606e-06,0,Inf,NA,NA,0,0,0
8,"cat1",1,0,2475,177.47693115796,30,0.322475503352807,0.150619597198175,154.488686736748,0.65614878303199,1.05638720742114,4.52902942934247,6.9024427789294,2000,150.84534126144,30,0.25444190182656,0.12140370422064,123.48129089152,0.579931800578979,1.19522188620789,4.60287923626477,7.93693194901444,1000,7.34052260805,30,0.00826778134938265,0.0050538487305629,4.9740141708834,4.59533779725035,0.150837046402703,114.080841635493,24.8253440049074,0.546474700289002,0.434510639393398,0.00876571373127805
9,"cat1",1,0,2475,124.412450646736,30,0.188081326748711,0.08706428713143,90.8574747340773,0.608027494028099,1.13999315387523,8.05457849700787,13.2470629636291,2000,74.91870620736,30,0.11105870253024,0.0467181621348,49.51302641248,0.419758452396291,1.65130011463248,10.2499318513538,24.4186431335442,1000,10.709257233146,30,0.0096998370997474,0.0054890180280397,5.92366455415047,0.47875409722288,1.44781461836191,63.659920548909,132.969975438712,0.307278649145876,0.195123248525388,0.0157084707517301
10,"cat2",0,1,2250,178.59998200072,60,0.36517773020134,0.159437294388498,153.049731851091,0.611927465024434,1.1327276845341,3.45937584630297,5.65324494164491,4000,162.61623397536,60,0.36177012285264,0.1490667433608,144.55024648928,0.206827977635427,3.35132213970465,3.83379603060398,18.5361577985439,1600,7.993836665422,60,0.00771480193359555,0.0058374073814382,5.11859762011027,7.72245665390673,0.0897573416885788,194.432429924576,25.1775359368594,0.650406344949356,1.04335232445056,0.00822907989485432
