"parameter","cat1","cat2","mann_whitney_cat1_cat2"
"asc_cmax","894.6 (IQR 725.2 - 1014.2)","675.1 (IQR 651.3 - 861.7)","0.31"
"asc_auc","1.5 (IQR 1.2 - 1.6)","1.3 (IQR 1.2 - 1.5)","0.937"
"asc_auc_30_90","0.7 (IQR 0.5 - 0.8)","0.5 (IQR 0.5 - 0.7)","0.699"
"asc_auc_inf","2.5 (IQR 1.9 - 2.7)","2.4 (IQR 2.2 - 2.8)","0.818"
"asc_ke","0.6 (IQR 0.6 - 0.7)","0.6 (IQR 0.6 - 0.7)",">0.999"
"asc_t12","1.1 (IQR 1 - 1.2)","1.1 (IQR 1 - 1.2)",">0.999"
"asc_Cl","5.7 (IQR 5.2 - 7.5)","5.2 (IQR 4.5 - 5.8)","0.24"
"asc_V","10.2 (IQR 8.5 - 12.5)","8.8 (IQR 6.8 - 9.4)","0.24"
"nac_cmax","608.3 (IQR 515.7 - 630.1)","792.8 (IQR 765.9 - 816)","0.004*"
"nac_auc","0.8 (IQR 0.6 - 0.9)","1.6 (IQR 1.5 - 1.7)","0.002*"
"nac_auc_30_90","0.4 (IQR 0.3 - 0.5)","0.7 (IQR 0.7 - 0.7)","0.002*"
"nac_auc_inf","1.3 (IQR 1.1 - 1.8)","3.5 (IQR 3.4 - 3.8)","0.002*"
"nac_ke","0.5 (IQR 0.4 - 0.6)","0.4 (IQR 0.4 - 0.4)","0.485"
"nac_t12","1.5 (IQR 1.2 - 2)","1.8 (IQR 1.7 - 1.9)","0.485"
"nac_Cl","9.2 (IQR 6.9 - 11)","7 (IQR 6.4 - 7.2)","0.24"
"nac_V","18.4 (IQR 12.5 - 27.2)","17.6 (IQR 16.8 - 18.4)","0.818"
"dfo_cmax","7.6 (IQR 5.8 - 7.8)","3.8 (IQR 3.3 - 5.2)","0.093"
"dfo_auc","0 (IQR 0 - 0)","0 (IQR 0 - 0)","0.18"
"dfo_auc_30_90","0 (IQR 0 - 0)","0 (IQR 0 - 0)","0.699"
"dfo_auc_inf","0 (IQR 0 - 0)","0 (IQR 0 - 0)","0.589"
"dfo_ke","1.4 (IQR 1.1 - 3.9)","2.3 (IQR 1.1 - 6.5)","0.699"
"dfo_t12","0.5 (IQR 0.2 - 0.6)","0.4 (IQR 0.1 - 0.6)","0.699"
"dfo_Cl","222.9 (IQR 213.1 - 269.2)","480.2 (IQR 384.3 - 608.4)","0.015*"
"dfo_V","157.6 (IQR 80.2 - 293.8)","316 (IQR 85.3 - 568.1)","0.485"
