"parameter","cat1","cat2","p"
"asc_cmax","894.6 (IQR 725.2 - 1014.2)","675.1 (IQR 651.3 - 861.7)","44.9 (IQR 32.3 - 58.6)"
"asc_tmax","30 (IQR 30 - 30)","90 (IQR 90 - 90)","60 (IQR 0 - 165)"
"asc_auc","1.5 (IQR 1.2 - 1.6)","1.3 (IQR 1.2 - 1.5)","0.1 (IQR 0.1 - 0.1)"
"asc_auc_30_90","0.7 (IQR 0.5 - 0.8)","0.5 (IQR 0.5 - 0.7)","0 (IQR 0 - 0)"
"asc_c_mean_30_90","717.8 (IQR 550.4 - 788.6)","517.6 (IQR 492.6 - 661.9)","38.1 (IQR 26.9 - 49.5)"
"asc_ke","0.6 (IQR 0.6 - 0.7)","0.6 (IQR 0.6 - 0.7)","NA (IQR NA - NA)"
"asc_t12","1.1 (IQR 1 - 1.2)","1.1 (IQR 1 - 1.2)","NA (IQR NA - NA)"
"asc_Cl","5.7 (IQR 5.2 - 7.5)","5.2 (IQR 4.5 - 5.8)","NA (IQR NA - NA)"
"asc_V","10.2 (IQR 8.5 - 12.5)","8.8 (IQR 6.8 - 9.4)","NA (IQR NA - NA)"
"asc_auc_inf","2.5 (IQR 1.9 - 2.7)","2.4 (IQR 2.2 - 2.8)","0 (IQR 0 - 0)"
"nac_cmax","608.3 (IQR 515.7 - 630.1)","792.8 (IQR 765.9 - 816)","0 (IQR 0 - 0)"
"nac_tmax","30 (IQR 30 - 30)","90 (IQR 90 - 90)","0 (IQR 0 - 0)"
"nac_auc","0.8 (IQR 0.6 - 0.9)","1.6 (IQR 1.5 - 1.7)","0 (IQR 0 - 0)"
"nac_auc_30_90","0.4 (IQR 0.3 - 0.5)","0.7 (IQR 0.7 - 0.7)","0 (IQR 0 - 0)"
"nac_c_mean_30_90","429.3 (IQR 302.7 - 473.1)","680.8 (IQR 657.2 - 720.1)","0 (IQR 0 - 0)"
"nac_ke","0.5 (IQR 0.4 - 0.6)","0.4 (IQR 0.4 - 0.4)","NA (IQR NA - NA)"
"nac_t12","1.5 (IQR 1.2 - 2)","1.8 (IQR 1.7 - 1.9)","NA (IQR NA - NA)"
"nac_Cl","9.2 (IQR 6.9 - 11)","7 (IQR 6.4 - 7.2)","NA (IQR NA - NA)"
"nac_V","18.4 (IQR 12.5 - 27.2)","17.6 (IQR 16.8 - 18.4)","NA (IQR NA - NA)"
"nac_auc_inf","1.3 (IQR 1.1 - 1.8)","3.5 (IQR 3.4 - 3.8)","0 (IQR 0 - 0)"
"dfo_cmax","7.6 (IQR 5.8 - 7.8)","3.8 (IQR 3.3 - 5.2)","0 (IQR 0 - 0)"
"dfo_tmax","30 (IQR 30 - 30)","60 (IQR 60 - 60)","0 (IQR 0 - 0)"
"dfo_auc","0 (IQR 0 - 0)","0 (IQR 0 - 0)","0 (IQR 0 - 0)"
"dfo_auc_30_90","0 (IQR 0 - 0)","0 (IQR 0 - 0)","0 (IQR 0 - 0)"
"dfo_c_mean_30_90","4 (IQR 3.7 - 4.2)","2.7 (IQR 2 - 3.5)","0 (IQR 0 - 0)"
"dfo_ke","8.3 (IQR 8.2 - 8.4)","8.5 (IQR 8.3 - 8.7)","NA (IQR NA - NA)"
"dfo_t12","0.1 (IQR 0.1 - 0.1)","0.1 (IQR 0.1 - 0.1)","NA (IQR NA - NA)"
"dfo_Cl","252.3 (IQR 247.5 - 282.9)","561.7 (IQR 496 - 762.5)","NA (IQR NA - NA)"
"dfo_V","29.8 (IQR 28.7 - 34.2)","64.6 (IQR 58.5 - 91)","NA (IQR NA - NA)"
"dfo_auc_inf","0 (IQR 0 - 0)","0 (IQR 0 - 0)","0 (IQR 0 - 0)"
