"parameter","cat1","cat2"
"asc_cmax","894.6(725.2 - 1014.2)","675.1(651.3 - 861.7)"
"asc_auc","1538.2(1161.8 - 1634.5)","1260.2(1230 - 1515.8)"
"asc_auc_0_90","703.4(532.7 - 766.5)","524.1(492.2 - 665.4)"
"asc_auc_inf","2487.7(1904.9 - 2684.7)","2448(2221.8 - 2821.8)"
"asc_ke","0.6(0.6 - 0.7)","0.6(0.6 - 0.7)"
"asc_t12","1.1(1 - 1.2)","1.1(1 - 1.2)"
"asc_Cl","5.7(5.2 - 7.5)","5.2(4.5 - 5.8)"
"asc_V","10.2(8.5 - 12.5)","8.8(6.8 - 9.4)"
"nac_cmax","748.2(634.3 - 775)","975.1(942.1 - 1003.7)"
"nac_auc","1042.9(759.4 - 1158.2)","1969.4(1865.5 - 2103.6)"
"nac_auc_0_90","510.8(352.6 - 567.8)","839.3(815.8 - 898.9)"
"nac_auc_inf","1642(1377.2 - 2249.2)","4335.7(4180.7 - 4722.4)"
"nac_ke","0.5(0.4 - 0.6)","0.4(0.4 - 0.4)"
"nac_t12","1.5(1.2 - 2)","1.8(1.7 - 1.9)"
"nac_Cl","7.5(5.6 - 9)","5.7(5.2 - 5.9)"
"nac_V","15(10.2 - 22.1)","14.3(13.7 - 15)"
"dfo_cmax","18.9(14.5 - 19.6)","9.5(8.3 - 13.1)"
"dfo_auc","17.1(15.3 - 17.5)","12.1(9.1 - 13.6)"
"dfo_auc_0_90","9.4(9.1 - 9.7)","7.2(5.7 - 9.8)"
"dfo_auc_inf","20(16.7 - 20.9)","14.8(11.9 - 18.8)"
"dfo_ke","1.4(1.1 - 3.9)","2.3(1.1 - 6.5)"
"dfo_t12","0.5(0.2 - 0.6)","0.4(0.1 - 0.6)"
"dfo_Cl","89.2(85.2 - 107.7)","192.1(153.7 - 243.4)"
"dfo_V","63(32.1 - 117.5)","126.4(34.1 - 227.2)"
