parameter,cat1,cat2
asc_cmax,145.5 ± 50.1,131.4 ± 31.8
asc_auc,239 ± 84.4,249.3 ± 64.3
asc_auc_0_90,111.2 ± 38.5,106.4 ± 30
asc_t12,1.1 ± 0.2,1.1 ± 0.1
asc_Cl,7.7 ± 4.9,5.1 ± 1.1
asc_V,11.7 ± 5.5,8.3 ± 1.9
nac_cmax,115.9 ± 26.2,160.3 ± 9.8
nac_auc,167.7 ± 54.9,325.3 ± 25.8
nac_auc_0_90,79.9 ± 28.1,138.5 ± 9.3
nac_t12,1.7 ± 0.8,1.9 ± 0.8
nac_Cl,7.4 ± 2.3,5.5 ± 1
nac_V,19.1 ± 13.3,14.4 ± 2.6
dfo_cmax,10.2 ± 3.7,6.6 ± 3.4
dfo_auc,8.9 ± 2.2,7.8 ± 4.3
dfo_auc_0_90,5.1 ± 1.3,5.2 ± 3.2
dfo_t12,0.6 ± 0.5,0.5 ± 0.4
dfo_Cl,104.1 ± 42.3,191.2 ± 68
dfo_V,77.5 ± 59.5,131.3 ± 111.3
