"parameter","cat1_mean","cat1_sd","cat1_median","cat1_Q1","cat1_Q3","cat2_mean","cat2_sd","cat2_median","cat2_Q1","cat2_Q3","p_mean","p_sd","p_median","p_Q1","p_Q3"
"asc_cmax",826.236320583333,284.181499780493,894.5703466,725.16448965,1014.23798825,746.294986016667,180.778030787124,675.1154051,651.30332165,861.69656165,47.517707555,34.7608606667918,44.91357692,32.286563935,58.6390325175
"asc_auc",1.35711317827458,0.4794160148118,1.538232437595,1.1617783067075,1.63447364404094,1.41546944803562,0.364837237497062,1.26023080592813,1.23002031394625,1.51583395552563,0.123709594693958,0.0976447480093724,0.116686904303125,0.0841428628625,0.133949533520625
"asc_auc_30_90",0.6315814453,0.218741176649574,0.703392717475,0.53273757939375,0.7664931340625,0.603939457858333,0.170355377770693,0.5240835268125,0.49218947715,0.66535534951875,0.0420154016541667,0.0332801754184124,0.038364079625,0.02710373838125,0.048834367499375
"asc_auc_inf",2.22482004339532,0.82522557147919,2.48774015274914,1.9048909439633,2.68471329013012,2.60831631321658,0.622580004294608,2.44795640196287,2.22179419185546,2.82175613150168,0,0,0,0,0
"asc_ke",0.637659920439555,0.0967620139641732,0.632088138530045,0.591071265360494,0.677087616390144,0.624445767732762,0.0663517694545468,0.612701620112889,0.583120086248789,0.676077241254978,NA,NA,NA,NA,NA
"asc_t12",1.10811707107328,0.168954132886903,1.09819018064819,1.02405191228004,1.17301220237119,1.12040441655071,0.117624022059321,1.13129827699061,1.02838093436912,1.18962378317406,NA,NA,NA,NA,NA
"asc_Cl",7.73702793461711,4.86252838891797,5.65726456281775,5.23555538033803,7.51216123906548,5.10689405468573,1.08124494487969,5.22130620907397,4.54401255233133,5.75626656213225,NA,NA,NA,NA,NA
"asc_V",11.7353146725487,5.48802332709357,10.1647900106429,8.46270409950445,12.5003681148426,8.25292390165905,1.9260695981584,8.82123159065559,6.77819836557375,9.36872808034074,NA,NA,NA,NA,NA
"nac_cmax",710.019275933333,160.380317723076,748.2171077,634.339691675,775.011356825,982.289786483333,59.9105825385777,975.0834849,942.080433875,1003.738411825,0,0,0,0,0
"nac_auc",1.02782127619167,0.336460226686283,1.04290575055625,0.759375879575,1.15816251669687,1.99304185853333,0.158300100658676,1.9693589294,1.86548481424375,2.103643084425,0,0,0,0,0
"nac_auc_30_90",0.489745592341667,0.172193227559703,0.5107824176,0.35262861939375,0.567825272425,0.8485561369375,0.0567671983617842,0.8393353814625,0.81584675115625,0.8988848202875,0,0,0,0,0
"nac_auc_inf",1.81373887065177,0.602759817520049,1.64195458553304,1.3771534220646,2.24917894441102,4.61169635032094,0.957837077758913,4.33571963730581,4.18068008456663,4.72242494535114,0,0,0,0,0
"nac_ke",0.487857221935007,0.232717137894984,0.45674857679073,0.352566333075542,0.558383530352244,0.399658900065858,0.137171632549436,0.386885522620649,0.371742051867865,0.408566085139565,NA,NA,NA,NA,NA
"nac_t12",1.72175906340859,0.847675529141555,1.52758730113739,1.24738503956728,1.98735338778376,1.93042556666943,0.752362785481579,1.79290977890547,1.69697359512595,1.86469109312675,NA,NA,NA,NA,NA
"nac_Cl",7.36812764859497,2.26626146105587,7.46493196273249,5.58917023816634,8.96731909005593,5.4814144956298,0.979635409146054,5.65304507131297,5.20218388502989,5.86518181970368,NA,NA,NA,NA,NA
"nac_V",19.0596056558263,13.3291719431786,14.9857186916455,10.1534400280607,22.1105555524794,14.4165039197623,2.56306678532749,14.3291929386421,13.6695493856073,14.9864531813977,NA,NA,NA,NA,NA
"dfo_cmax",18.2283973746667,6.61030857572449,18.88786371,14.48866044,19.5574663875,11.860623577,6.0125360054687,9.4849177565,8.296620788,13.0711234025,0,0,0,0,0
"dfo_auc",0.015932184350125,0.00400902979151362,0.017124437867875,0.0152976244425,0.01747365330425,0.0138307936365208,0.00763562858728579,0.0120850158044375,0.0090668736266875,0.0135611988546563,0,0,0,0,0
"dfo_auc_30_90",0.009077064574,0.00238295937782762,0.009394894048375,0.009075079637875,0.0097271509395625,0.00925374756520833,0.00562601577904045,0.0071591461625,0.0056865906571875,0.009846868748875,0,0,0,0,0
"dfo_auc_inf",0.0190808880106559,0.00609634737633079,0.0199638706177904,0.0167148211771843,0.0208943225271672,0.0170802288823307,0.00767648826564285,0.0148377774601141,0.0118979269122696,0.0188436497597659,0,0,0,0,0
"dfo_ke",2.36818005357522,1.97487177639611,1.44373163861197,1.14906753342495,3.85889324219425,3.57905553302998,3.29144516633636,2.25567866929704,1.10549665530899,6.50842958693637,NA,NA,NA,NA,NA
"dfo_t12",0.555522113901925,0.481461709756071,0.490055820844063,0.218185425733959,0.604374219352525,0.459464845170427,0.421315242086685,0.358963014759174,0.123730281407522,0.63984236224449,NA,NA,NA,NA,NA
"dfo_Cl",103.856863350829,42.181070972732,89.1611067929708,85.2469958846,107.683659507554,190.932492530537,67.8628791546318,192.09927837672,153.716752726339,243.372317698639,NA,NA,NA,NA,NA
"dfo_V",77.3063931308306,59.3487966238384,63.0430224077461,32.0840660856298,117.531536386001,131.145504154757,111.10436118032,126.382752886231,34.1253150314464,227.241240674338,NA,NA,NA,NA,NA
