"parameter","cat1_mean","cat1_sd","cat1_median","cat1_Q1","cat1_Q3","cat2_mean","cat2_sd","cat2_median","cat2_Q1","cat2_Q3","p_mean","p_sd","p_median","p_Q1","p_Q3"
"asc_cmax",826.236320583333,284.181499780493,894.5703466,725.16448965,1014.23798825,746.294986016667,180.778030787124,675.1154051,651.30332165,861.69656165,47.517707555,34.7608606667918,44.91357692,32.286563935,58.6390325175
"asc_auc",1357.11317827458,479.4160148118,1538.232437595,1161.7783067075,1634.47364404094,1415.46944803562,364.837237497062,1260.23080592812,1230.02031394625,1515.83395552563,123.709594693958,97.6447480093724,116.686904303125,84.1428628625,133.949533520625
"asc_auc_30_90",631.5814453,218.741176649574,703.392717475,532.73757939375,766.4931340625,603.939457858333,170.355377770693,524.0835268125,492.18947715,665.35534951875,42.0154016541667,33.2801754184124,38.364079625,27.10373838125,48.834367499375
"asc_auc_inf",2224.82004339532,825.22557147919,2487.74015274914,1904.8909439633,2684.71329013012,2608.31631321658,622.580004294608,2447.95640196287,2221.79419185546,2821.75613150168,0,0,0,0,0
"asc_ke",0.637659920439555,0.0967620139641732,0.632088138530045,0.591071265360494,0.677087616390144,0.624445767732762,0.0663517694545468,0.612701620112889,0.583120086248789,0.676077241254978,NA,NA,NA,NA,NA
"asc_t12",1.10811707107328,0.168954132886903,1.09819018064819,1.02405191228004,1.17301220237119,1.12040441655071,0.117624022059321,1.13129827699061,1.02838093436912,1.18962378317406,NA,NA,NA,NA,NA
"asc_Cl",7.73702793461711,4.86252838891797,5.65726456281775,5.23555538033803,7.51216123906548,5.10689405468573,1.08124494487969,5.22130620907397,4.54401255233133,5.75626656213225,NA,NA,NA,NA,NA
"asc_V",11.7353146725487,5.48802332709357,10.1647900106429,8.46270409950445,12.5003681148426,8.25292390165905,1.9260695981584,8.82123159065559,6.77819836557375,9.36872808034074,NA,NA,NA,NA,NA
"nac_cmax",710.019285933333,160.380317723076,748.2171177,634.339701675,775.011366825,982.289796483333,59.9105825385776,975.0834949,942.080443875,1003.738421825,1e-05,0,1e-05,1e-05,1e-05
"nac_auc",1027.82130619167,336.460226686283,1042.90578055625,759.375909575,1158.16254669687,1993.04188853333,158.300100658676,1969.3589594,1865.48484424375,2103.643114425,3e-05,0,3e-05,3e-05,3e-05
"nac_auc_30_90",489.745602341667,172.193227559703,510.7824276,352.62862939375,567.825282425,848.5561469375,56.7671983617842,839.3353914625,815.84676115625,898.8848302875,1e-05,0,1e-05,1e-05,1e-05
"nac_auc_inf",1813.73896094487,602.759811890361,1641.95465999118,1377.15353576318,2249.17904063546,4611.69644644268,957.83709763636,4335.71972886094,4180.68017540101,4722.4250386921,0,0,0,0,0
"nac_ke",0.487857198865886,0.232717128122938,0.456748552248263,0.352566318328616,0.558383513459293,0.399658894004073,0.137171630034996,0.386885516675967,0.371742046766354,0.408566078914622,NA,NA,NA,NA,NA
"nac_t12",1.7217591587674,0.847675607889387,1.52758738550746,1.24738507875153,1.98735346533682,1.93042559481612,0.752362794552401,1.79290980642066,1.69697362099579,1.86469111869613,NA,NA,NA,NA,NA
"nac_Cl",7.36812720032851,2.26626117447329,7.46493162531388,5.58916999375253,8.9673183100242,5.48141438126837,0.979635388292728,5.65304495194585,5.20218378167467,5.86518169210736,NA,NA,NA,NA,NA
"nac_V",19.0596054793178,13.3291716632977,14.9857186006403,10.1534400763875,22.1105553583145,14.4165038310097,2.56306675278692,14.329192852979,13.6695493062027,14.9864530826293,NA,NA,NA,NA,NA
"dfo_cmax",18.2284073746667,6.61030857572449,18.88787371,14.48867044,19.5574763875,11.860633577,6.0125360054687,9.4849277565,8.296630788,13.0711334025,1e-05,0,1e-05,1e-05,1e-05
"dfo_auc",15.932214350125,4.00902979151362,17.124467867875,15.2976544425,17.47368330425,13.8308236365208,7.63562858728579,12.0850458044375,9.0669036266875,13.5612288546562,3e-05,0,3e-05,3e-05,3e-05
"dfo_auc_30_90",9.077074574,2.38295937782762,9.394904048375,9.075089637875,9.7271609395625,9.25375756520833,5.62601577904045,7.1591561625,5.6866006571875,9.846878748875,1e-05,0,1e-05,1e-05,1e-05
"dfo_auc_inf",16.3406750061549,4.1238358735987,17.6036127792155,15.7440945876348,17.9432887994967,14.5980732463243,8.21417877436549,12.7068100410981,9.47395498667443,14.3169975435867,0,0,0,0,0
"dfo_ke",8.92333756716918,0.3682076066237,8.98662345334859,8.8528860736298,9.09499367187421,9.23288515718731,0.317910530255936,9.19528336941615,8.97929197391963,9.35739930578201,NA,NA,NA,NA,NA
"dfo_t12",0.0777921482851824,0.0033218071385594,0.0771381719734125,0.0762120919636827,0.0782969162816257,0.0751465604189104,0.00253896769481056,0.0753946360121551,0.0740751598639835,0.0771966000641757,NA,NA,NA,NA,NA
"dfo_Cl",117.729813470507,42.871211080543,101.135576857396,99.2023134089015,113.429375336833,234.729533563927,91.7233321740948,225.504926011363,199.217489033118,305.998326439881,NA,NA,NA,NA,NA
"dfo_V",13.359561218747,5.58603662912046,11.0915222424667,10.7121046741794,12.6899290459674,25.6944434387332,10.6041278342718,24.1265765919083,21.8091322825449,33.8901169890053,NA,NA,NA,NA,NA
