"parameter","cat1_mean","cat1_sd","cat1_median","cat1_Q1","cat1_Q3","cat2_mean","cat2_sd","cat2_median","cat2_Q1","cat2_Q3","p_mean","p_sd","p_median","p_Q1","p_Q3"
"asc_cmax",145.516740781137,50.0500457413404,157.551729443192,127.715969917158,178.62759449059,131.437472937255,31.8386267822283,118.901325146212,114.707541008998,151.761998437798,8.3688186545866,6.12208278063537,7.9101791671504,5.6863096402322,10.3275064069821
"asc_auc",239.01477295772,84.4347485286542,270.913496909231,204.612395377325,287.86349818849,249.292479188034,64.2551342679825,221.951849540061,216.631177692214,266.968676247173,21.7877338174999,17.1971930194107,20.5508975858664,14.8192410073435,23.5911918436525
"asc_auc_0_90",111.234124146236,38.524696031523,123.881525401697,93.8257424828273,134.994770771088,106.36581731801,30.0029891329744,92.3015907422175,86.684410715658,117.182384157242,7.39975253933183,5.8613044946908,6.756681703555,4.77351040370575,8.60070880398993
"asc_auc_inf",391.835306042784,145.338727648915,438.140795702178,335.489393050817,472.831704657717,459.376669083705,109.648790356366,431.134081513701,391.302393069584,496.967689880076,0,0,0,0,0
"asc_ke",0.637659920439554,0.0967620139641731,0.632088138530045,0.591071265360493,0.677087616390144,0.624445767732762,0.0663517694545468,0.612701620112889,0.583120086248789,0.676077241254977,0,0,0,0,0
"asc_t12",1.10811707107329,0.168954132886903,1.09819018064819,1.02405191228004,1.17301220237119,1.12040441655071,0.117624022059322,1.13129827699061,1.02838093436912,1.18962378317407,Inf,NA,Inf,Inf,Inf
"asc_Cl",7.73863506933453,4.86353843285918,5.65843968928251,5.23664290941094,7.51372166449398,5.10904575769017,1.08170050905852,5.22350611769491,4.54592709478245,5.75869186720486,NA,NA,NA,NA,NA
"asc_V",11.7377523310126,5.48916329878471,10.1669014398712,8.46446197160684,12.5029646901358,8.25640113086421,1.92688111484481,8.82494826664558,6.78105424424123,9.37267543467048,NA,NA,NA,NA,NA
"nac_cmax",115.87514746432,26.1740678524059,122.10903360864,103.52423931336,126.48185506584,160.30969478608,9.77740707029589,159.13362636768,153.7475284404,163.81011044184,1.632e-06,0,1.632e-06,1.632e-06,1.632e-06
"nac_auc",167.74043717048,54.9103089952014,170.20222338678,123.93014844264,189.01212762093,325.26443620864,25.8345764274959,321.39938217408,304.44712658058,343.31455627416,4.896e-06,0,4.896e-06,4.896e-06,4.896e-06
"nac_auc_0_90",79.92648230216,28.1019347377436,83.35969218432,57.54899231706,92.66908609176,138.4843631802,9.26440677264319,136.97953588668,133.1461914207,146.69800430292,1.632e-06,0,1.632e-06,1.632e-06,1.632e-06
"nac_auc_inf",296.002198426202,98.3704013005068,267.967000510561,224.751457036552,367.066019431708,752.628860059446,156.319014334254,707.589459750106,682.287004625444,770.69976631455,0,0,0,0,0
"nac_ke",0.487857198865886,0.232717128122938,0.456748552248262,0.352566318328615,0.558383513459292,0.399658894004073,0.137171630034996,0.386885516675967,0.371742046766354,0.408566078914622,0,0,0,0,0
"nac_t12",1.7217591587674,0.847675607889392,1.52758738550746,1.24738507875153,1.98735346533682,1.93042559481612,0.752362794552401,1.79290980642066,1.69697362099579,1.86469111869613,Inf,NA,Inf,Inf,Inf
"nac_Cl",7.37107563058073,2.26716804168996,7.46791879283102,5.59140655637508,8.97090667269326,5.48137053030413,0.979627551272317,5.65299972794802,5.20214216453736,5.8651347710292,NA,NA,NA,NA,NA
"nac_V",19.0672323722667,13.334505465484,14.991715286755,10.1575030776185,22.1194031195623,14.4163884999017,2.56304624841694,14.3290782203533,13.6694399506831,14.9863331919638,NA,NA,NA,NA,NA
"dfo_cmax",10.2188451742381,3.70573898755115,10.588542001826,8.122348648664,10.9639212628325,6.6490711832662,3.37062768466575,5.3172505002939,4.6510912197528,7.3276773854415,5.606e-06,0,5.606e-06,5.606e-06,5.606e-06
"dfo_auc",8.93159936468007,2.24746210112254,9.59997668673073,8.5758650804655,9.79574686036255,7.75355973063358,4.28053338603241,6.77487667796766,5.08290617312101,7.60242489592029,1.6818e-05,0,1.6818e-05,1.6818e-05,1.6818e-05
"dfo_auc_0_90",5.0886080061844,1.33588702721016,5.26678320951903,5.08749525099272,5.45304642271874,5.18765649105579,3.15394444573008,4.0134229446975,3.18790832841931,5.52016022661933,5.606e-06,0,5.606e-06,5.606e-06,5.606e-06
"dfo_auc_inf",10.6967740222979,3.41761636654897,11.191772424723,9.370352748699,11.713380849764,9.57520446148569,4.30343972944923,8.31808266424583,6.67000661292473,10.5637837671023,0,0,0,0,0
"dfo_ke",2.36815851214839,1.97484766980414,1.44372615921351,1.14905695311816,3.85885875957993,3.57902160406392,3.29140227942183,2.2556695781709,1.10549174408434,6.50839039788216,0,0,0,0,0
"dfo_t12",0.555524928227257,0.481462466284952,0.490057671899064,0.218186909920507,0.604379955660987,0.459466645454833,0.421316015140165,0.35896456610274,0.123730922861332,0.639845191250142,Inf,NA,Inf,Inf,Inf
"dfo_Cl",104.078422953351,42.2708920213662,89.3513923841534,85.4289577243311,107.913453936467,191.205456109623,67.9597227153259,192.374044190375,153.93659367812,243.720048698303,NA,NA,NA,NA,NA
"dfo_V",77.4718013115267,59.4758018756705,63.1778051490493,32.1527660507319,117.782626106507,131.333494117798,111.263445631623,126.563938480389,34.1745039752372,227.566752254265,NA,NA,NA,NA,NA
